model_id,family,size_b,reasoning,size_group,villager_accuser__target_shift__suspect,villager_accuser__target_shift__suspect_ci95,villager_accuser__target_shift__suspect_n,villager_accuser__target_shift__accuse,villager_accuser__target_shift__accuse_ci95,villager_accuser__target_shift__accuse_n,villager_accuser__accuser_shift__suspect,villager_accuser__accuser_shift__suspect_ci95,villager_accuser__accuser_shift__suspect_n,villager_accuser__accuser_shift__accuse,villager_accuser__accuser_shift__accuse_ci95,villager_accuser__accuser_shift__accuse_n,wolf_accuser__target_shift__suspect,wolf_accuser__target_shift__suspect_ci95,wolf_accuser__target_shift__suspect_n,wolf_accuser__target_shift__accuse,wolf_accuser__target_shift__accuse_ci95,wolf_accuser__target_shift__accuse_n,wolf_accuser__accuser_shift__suspect,wolf_accuser__accuser_shift__suspect_ci95,wolf_accuser__accuser_shift__suspect_n,wolf_accuser__accuser_shift__accuse,wolf_accuser__accuser_shift__accuse_ci95,wolf_accuser__accuser_shift__accuse_n
meta-llama/Llama-3.2-1B-Instruct,Llama,1.0,False,<=4B,0.34316353887399464,0.13701530231687128,373,0.5614489003880984,0.09761962099325182,773,-1.670731707317073,0.17114378798621582,410,-1.520496894409938,0.1269427696201459,805,0.5685279187817259,0.12187035792102242,394,0.6472346786248132,0.10468075492077632,669,-1.60431654676259,0.15817042944688817,417,-1.5373525557011796,0.12475988525754832,763
Qwen/Qwen3.5-2B,Qwen,2.0,True,<=4B,0.4270557029177719,0.140677772128832,377,0.7780645161290323,0.09297663212770196,775,-0.021686746987951807,0.09203215685908331,415,0.030864197530864196,0.0665833728902087,810,0.4847715736040609,0.12265757428281905,394,0.8631578947368421,0.1138764972378786,665,-0.1766109785202864,0.10750723843024586,419,-0.11462450592885376,0.08134736134485922,759
Qwen/Qwen3.5-2B-nothink,Qwen,2.0,False,<=4B,-0.4756756756756757,0.19448542914839917,370,-0.09102902374670185,0.14761492772118945,758,-0.5833333333333334,0.17627622357208703,408,-0.2628930817610063,0.13303428801995384,795,-0.1820580474934037,0.18500796577650425,379,-0.125,0.1630912253365731,648,-0.562962962962963,0.18448821332075108,405,-0.3135935397039031,0.14312925364135812,743
google/gemma-4-E2B-it,Gemma,2.0,False,<=4B,0.2724867724867725,0.11122810750962234,378,1.429305912596401,0.07455271020477311,778,-0.3180722891566265,0.10865626181987285,415,-0.3862238622386224,0.10422527221774221,813,0.18387909319899245,0.09373657315129978,397,0.9452662721893491,0.10601501503937018,676,-0.37142857142857144,0.10918009324295787,420,-0.22135416666666666,0.10336743633925019,768
google/gemma-4-E2B-it-r,Gemma,2.0,True,<=4B,0.2,0.14275492630363837,375,1.0668380462724936,0.10122992470573483,778,-0.41646489104116224,0.11207623269179082,413,-0.16851168511685116,0.10911299088244852,813,0.14430379746835442,0.1303911154508725,395,0.5758928571428571,0.1336346947859036,672,-0.28708133971291866,0.11437435163801914,418,-0.08781127129750983,0.11065414712707373,763
meta-llama/Llama-3.2-3B-Instruct,Llama,3.0,False,<=4B,-0.35978835978835977,0.2137633068561989,378,0.6871008939974457,0.16279881228348647,783,-1.3004807692307692,0.19965789111867244,416,-1.1039119804400979,0.1472919376632406,818,-0.03526448362720403,0.18213111714575128,397,0.33136094674556216,0.1670291823958484,676,-1.8238095238095238,0.178094918661472,420,-1.14453125,0.16856578128637087,768
mistralai/Ministral-3-3B-Instruct-2512,Mistral,3.0,False,<=4B,-0.08310249307479224,0.18955268422671834,361,0.9765013054830287,0.1454168314547649,766,-0.71712158808933,0.15164246401839326,403,-0.73875,0.10522756077334437,800,-0.21573604060913706,0.16599795095431005,394,0.36048265460030166,0.1643719467888289,663,-0.6594724220623501,0.14409888455822278,417,-0.5557029177718833,0.1258333418087084,754
microsoft/Phi-4-mini-instruct,Phi,3.8,False,<=4B,0.2275132275132275,0.22538756217503614,378,0.9872286079182631,0.1648197902396739,783,-0.8125,0.17519694663781696,416,-0.9596083231334149,0.14358197597459713,817,0.09571788413098237,0.2197589400289409,397,0.599112426035503,0.18209101366234448,676,-0.9285714285714286,0.17191383755174017,420,-0.5410691003911343,0.15275104756860997,767
Qwen/Qwen3.5-4B,Qwen,4.0,True,<=4B,0.8492063492063492,0.12421988285796268,378,1.4826700898587932,0.0912115539622516,779,-0.7125603864734299,0.11482169696595407,414,-0.6572481572481572,0.09502016216744134,814,0.5126903553299492,0.13182448545036213,394,1.30849478390462,0.11019860149706869,671,-0.4940047961630695,0.13026338960491193,417,-0.5931758530183727,0.1165903790465129,762
Qwen/Qwen3.5-4B-nothink,Qwen,4.0,False,<=4B,0.5041551246537396,0.16970124873894935,361,1.2098930481283423,0.11981607395096176,748,-0.72544080604534,0.16298310568917646,397,-0.6942675159235668,0.12337741072045653,785,0.336,0.16447854234079468,375,1.0,0.1419410282199128,647,-0.575,0.1657773289898759,400,-0.6192411924119241,0.13768478488884842,738
