model_id,family,size_b,reasoning,size_group,villager_accuser__target_shift__trust,villager_accuser__target_shift__trust_ci95,villager_accuser__target_shift__trust_n,villager_accuser__target_shift__neutral,villager_accuser__target_shift__neutral_ci95,villager_accuser__target_shift__neutral_n,villager_accuser__target_shift__distrust,villager_accuser__target_shift__distrust_ci95,villager_accuser__target_shift__distrust_n,villager_accuser__accuser_shift__trust,villager_accuser__accuser_shift__trust_ci95,villager_accuser__accuser_shift__trust_n,villager_accuser__accuser_shift__neutral,villager_accuser__accuser_shift__neutral_ci95,villager_accuser__accuser_shift__neutral_n,villager_accuser__accuser_shift__distrust,villager_accuser__accuser_shift__distrust_ci95,villager_accuser__accuser_shift__distrust_n,wolf_accuser__target_shift__trust,wolf_accuser__target_shift__trust_ci95,wolf_accuser__target_shift__trust_n,wolf_accuser__target_shift__neutral,wolf_accuser__target_shift__neutral_ci95,wolf_accuser__target_shift__neutral_n,wolf_accuser__target_shift__distrust,wolf_accuser__target_shift__distrust_ci95,wolf_accuser__target_shift__distrust_n,wolf_accuser__accuser_shift__trust,wolf_accuser__accuser_shift__trust_ci95,wolf_accuser__accuser_shift__trust_n,wolf_accuser__accuser_shift__neutral,wolf_accuser__accuser_shift__neutral_ci95,wolf_accuser__accuser_shift__neutral_n,wolf_accuser__accuser_shift__distrust,wolf_accuser__accuser_shift__distrust_ci95,wolf_accuser__accuser_shift__distrust_n
meta-llama/Llama-3.2-1B-Instruct,Llama,1.0,False,<=4B,0.29653679653679654,0.1335197092314364,462,1.0357142857142858,0.3966666666666666,28,0.6211656441717791,0.09893286066145537,652,-1.5900621118012421,0.15789454172825879,483,-1.2758620689655173,0.48535851637460764,29,-1.570412517780939,0.13771209284281585,703,0.35170603674540685,0.1484802492503538,381,0.5185185185185185,0.3097547886494825,54,0.8012820512820513,0.09479543673535339,624,-1.6053268765133173,0.15634361306848585,413,-1.4181818181818182,0.4090858630440754,55,-1.5463483146067416,0.13131985719670577,712
Qwen/Qwen3.5-2B,Qwen,2.0,True,<=4B,0.6610878661087866,0.0843820978546587,956,0.7894736842105263,0.47997417015176674,38,0.6455696202531646,0.22748337780946173,158,0.1232741617357002,0.048831871397666905,1014,-0.3170731707317073,0.42984534385191603,41,-0.5647058823529412,0.21502718279063024,170,0.7849117174959872,0.10542756410827628,623,1.0,0.43508186802492466,46,0.5897435897435898,0.15065722115294672,390,0.1981981981981982,0.06410959053551463,666,-0.28846153846153844,0.40756796817603547,52,-0.6043478260869565,0.11712618056940946,460
Qwen/Qwen3.5-2B-nothink,Qwen,2.0,False,<=4B,-0.1630012936610608,0.14635724163522587,773,-0.017857142857142856,0.3802698780868401,112,-0.48148148148148145,0.23097643097643095,243,-0.2978986402966625,0.1269249499760953,809,-0.07377049180327869,0.3586696419244589,122,-0.7242647058823529,0.22764076126835217,272,-0.15845070422535212,0.1727473569685299,568,-0.1532258064516129,0.3491846547292686,124,-0.12275449101796407,0.2030752024826469,334,-0.27941176470588236,0.15085796489746398,612,-0.28888888888888886,0.3391794779472206,135,-0.6259351620947631,0.19684682827462532,401
google/gemma-4-E2B-it,Gemma,2.0,False,<=4B,1.3155893536121672,0.14104044734296325,263,0.9745370370370371,0.0796526809354961,864,0.9310344827586207,0.5409912951708689,29,-0.7942238267148014,0.16763808924178228,277,-0.2510869565217391,0.08848036463474541,920,0.16129032258064516,0.41748187196993014,31,1.2463768115942029,0.2194363372703627,69,0.7280285035629454,0.08335446604272574,842,0.08024691358024691,0.24811402761176757,162,-0.8947368421052632,0.345540453472744,76,-0.2803532008830022,0.08457799335404255,906,-0.019417475728155338,0.20095509712590076,206
google/gemma-4-E2B-it-r,Gemma,2.0,True,<=4B,0.9404255319148936,0.17595329637319854,235,0.7446569178852643,0.09995329350362932,889,0.7586206896551724,0.45266183276202643,29,-0.3735408560311284,0.14937599834811588,257,-0.22615219721329047,0.0956592335651054,933,-0.05555555555555555,0.6982001552492835,36,0.8666666666666667,0.44311222556418417,45,0.48899188876013905,0.10754412095418947,863,-0.1069182389937107,0.2573738162954439,159,-0.12280701754385964,0.2505022348247629,57,-0.21967213114754097,0.08859799158555251,915,0.10047846889952153,0.24493505821486,209
meta-llama/Llama-3.2-3B-Instruct,Llama,3.0,False,<=4B,0.003105590062111801,0.26524705460465364,322,0.49345549738219896,0.15893321875246105,764,0.32,0.5381011177956918,75,-1.1975308641975309,0.19210677418137323,324,-1.2829268292682927,0.14728619025857898,820,-0.044444444444444446,0.5599763068923186,90,-0.2808988764044944,0.4166847229181126,89,0.3761574074074074,0.14161915357604618,864,-0.75,0.2852690508494551,120,-2.2636363636363637,0.2893753333552761,110,-1.543550165380375,0.13281081593845076,907,0.023391812865497075,0.43833059450685014,171
mistralai/Ministral-3-3B-Instruct-2512,Mistral,3.0,False,<=4B,0.8661971830985915,0.1958306793987016,426,0.5051395007342144,0.1526316333995954,681,0.3157894736842105,0.8352321856464068,19,-0.7814569536423841,0.12771403864887193,453,-0.736551724137931,0.11467092568678267,725,0.32,0.8671384972040703,25,0.5833333333333334,0.29079782694349643,204,0.119533527696793,0.1484651902187463,686,-0.29518072289156627,0.2892533761714473,166,-0.7467248908296943,0.19659784765092903,229,-0.560875512995896,0.11836190604110847,731,-0.5355450236966824,0.2637686814756512,211
microsoft/Phi-4-mini-instruct,Phi,3.8,False,<=4B,0.9597523219814241,0.1707679491605964,646,0.6372795969773299,0.23767602391462445,397,-0.13675213675213677,0.4637535105926807,117,-1.2940298507462686,0.14176991637912673,670,-0.4325581395348837,0.19065957513283155,430,-0.518796992481203,0.3786441281836295,133,0.6933333333333334,0.2314512098800984,375,0.3545232273838631,0.23385704503573898,409,0.1284722222222222,0.2720345304848663,288,-1.183206106870229,0.19293850469218396,393,-0.4488888888888889,0.1789000899842592,450,-0.4011627906976744,0.23083747170910396,344
Qwen/Qwen3.5-4B,Qwen,4.0,True,<=4B,1.3398157625383829,0.08016575506584173,977,1.0568181818181819,0.2599947341831807,88,0.8043478260869565,0.32379035183921356,92,-0.5924124513618677,0.07339011125116066,1028,-1.1235955056179776,0.2918402459086078,89,-1.09009009009009,0.374219657549638,111,1.3856427378964942,0.10661735404434443,599,0.6701030927835051,0.2432622504180993,97,0.5013550135501355,0.15816352909560222,369,-0.6506211180124224,0.1047340697401174,644,-0.4895833333333333,0.30989613132080623,96,-0.43735763097949887,0.16712621881220238,439
Qwen/Qwen3.5-4B-nothink,Qwen,4.0,False,<=4B,1.064,0.10967209294396355,875,0.8682170542635659,0.2823911630065184,129,0.41904761904761906,0.37772291205405883,105,-0.6243272335844995,0.10680335504075715,929,-1.0916030534351144,0.27649356038146405,131,-0.9016393442622951,0.39409873035958237,122,0.9457627118644067,0.14115025629516428,590,0.7284768211920529,0.282299230563085,151,0.3736654804270463,0.21534361773022578,281,-0.5975039001560063,0.13374313184551087,641,-0.6064516129032258,0.2615297089569522,155,-0.6140350877192983,0.22162171720094037,342
