model_id,slug,n_part1,n_part1_ok,n_part2,n_part2_ok
Qwen/Qwen3-14B,Qwen__Qwen3-14B,4656,4656,4656,4656
Qwen/Qwen3-30B-A3B,Qwen__Qwen3-30B-A3B,4656,4656,4656,4656
Qwen/Qwen3-8B,Qwen__Qwen3-8B,4656,4656,4656,4656
Qwen/Qwen3.5-2B-nothink,Qwen__Qwen3.5-2B-nothink,4656,4624,4656,4508
Qwen/Qwen3.5-2B,Qwen__Qwen3.5-2B,4656,4654,4656,4614
Qwen/Qwen3.5-4B-nothink,Qwen__Qwen3.5-4B-nothink,4656,4597,4656,4451
Qwen/Qwen3.5-4B,Qwen__Qwen3.5-4B,4656,4637,4656,4629
Qwen/Qwen3.5-9B-nothink,Qwen__Qwen3.5-9B-nothink,4656,4576,4656,4418
Qwen/Qwen3.5-9B,Qwen__Qwen3.5-9B,4656,4637,4656,4622
Qwen/Qwen3.6-27B-nothink,Qwen__Qwen3.6-27B-nothink,4656,4656,4656,4654
Qwen/Qwen3.6-27B,Qwen__Qwen3.6-27B,4656,4656,4656,4656
Qwen/Qwen3.6-35B-A3B-nothink,Qwen__Qwen3.6-35B-A3B-nothink,4656,4646,4656,4606
Qwen/Qwen3.6-35B-A3B,Qwen__Qwen3.6-35B-A3B,4656,4656,4656,4656
allenai/Olmo-3-7B-Instruct,allenai__Olmo-3-7B-Instruct,4656,4656,4656,4655
allenai/Olmo-3-7B-Think,allenai__Olmo-3-7B-Think,4656,4656,4656,4656
allenai/Olmo-3.1-32B-Instruct,allenai__Olmo-3.1-32B-Instruct,4656,4655,4656,4625
allenai/Olmo-3.1-32B-Think,allenai__Olmo-3.1-32B-Think,4656,4656,4656,4654
google/gemma-4-26B-A4B-it-r,google__gemma-4-26B-A4B-it-r,4656,4656,4656,4656
google/gemma-4-26B-A4B-it,google__gemma-4-26B-A4B-it,4656,4656,4656,4656
google/gemma-4-31B-it-r,google__gemma-4-31B-it-r,4656,4656,4656,4656
google/gemma-4-31B-it,google__gemma-4-31B-it,4656,4656,4656,4656
google/gemma-4-E2B-it-r,google__gemma-4-E2B-it-r,4656,4646,4656,4627
google/gemma-4-E2B-it,google__gemma-4-E2B-it,4656,4652,4656,4645
google/gemma-4-E4B-it-r,google__gemma-4-E4B-it-r,4656,4652,4656,4642
google/gemma-4-E4B-it,google__gemma-4-E4B-it,4656,4652,4656,4642
meta-llama/Llama-3.1-8B-Instruct,meta-llama__Llama-3.1-8B-Instruct,4656,4656,4656,4654
meta-llama/Llama-3.2-1B-Instruct,meta-llama__Llama-3.2-1B-Instruct,4656,4630,4656,4611
meta-llama/Llama-3.2-3B-Instruct,meta-llama__Llama-3.2-3B-Instruct,4656,4656,4656,4656
meta-llama/Llama-3.3-70B-Instruct,meta-llama__Llama-3.3-70B-Instruct,4656,4656,4656,4656
microsoft/Phi-4-mini-instruct,microsoft__Phi-4-mini-instruct,4656,4654,4656,4656
microsoft/phi-4,microsoft__phi-4,4656,4638,4656,4626
mistralai/Ministral-3-14B-Instruct-2512,mistralai__Ministral-3-14B-Instruct-2512,4656,4655,4656,4654
mistralai/Ministral-3-3B-Instruct-2512,mistralai__Ministral-3-3B-Instruct-2512,4656,4610,4656,4558
mistralai/Ministral-3-8B-Instruct-2512,mistralai__Ministral-3-8B-Instruct-2512,4656,4653,4656,4640
nvidia/NVIDIA-Nemotron-Nano-9B-v2,nvidia__NVIDIA-Nemotron-Nano-9B-v2,4656,4656,4656,4654
openai/gpt-oss-120b-nr,openai__gpt-oss-120b-nr,4656,4641,4656,4625
openai/gpt-oss-120b,openai__gpt-oss-120b,4656,4656,4656,4656
openai/gpt-oss-20b-nr,openai__gpt-oss-20b-nr,4656,4648,4656,4642
openai/gpt-oss-20b-r,openai__gpt-oss-20b-r,4656,4650,4656,4644
zai-org/GLM-4.7-Flash,zai-org__GLM-4.7-Flash,4656,4647,4656,4643
